Original Ordering,Unnamed: 0,Title,Author,Cleaned Goodreads URL,Number of Dupes
13488,267444,dbt skills training,marsha m. linehan,21413263-dbt-skills-training,2
13489,267443,dbt skills training handouts and worksheets,marsha m. linehan,21413263-dbt-skills-training,2
56246,320297,the king in yellow,robert w. chambers,21426171-the-king-in-yellow,2
56247,383106,the king in yellow and other horror stories,robert w. chambers,21426171-the-king-in-yellow,2
44127,105942,"sex friends, vol.1",eva m. bennett,21467796-sex-friends-vol-1,2
44128,105941,"sex friends, vol.2",eva m. bennett,21467796-sex-friends-vol-1,2
58068,77235,the monstrumologist,rick yancey,21471475-the-monstrumologist-collection,2
58069,99599,the monstrumologist collection,rick yancey,21471475-the-monstrumologist-collection,2
70834,161504,¡salva al gato!,blake snyder,21530076-salva-al-gato,2
70835,161503,¡salva al gato! va al cine,blake snyder,21530076-salva-al-gato,2
57503,17320,the man in the brown suit,agatha christie,2156589.The_Man_in_the_Brown_Suit,2
57504,4624,the man in the brown suit موعد مع الموت,agatha christie,2156589.The_Man_in_the_Brown_Suit,2
10825,185346,chroniques birmanes,guy delisle,2166148.Chroniques_birmanes,2
10827,39646,chroniques de jérusalem,guy delisle,2166148.Chroniques_birmanes,2
64290,83983,theodore rex,edmund morris,217154.Theodore_Rex,2
64291,203379,theodore roosevelt trilogy,edmund morris,217154.Theodore_Rex,2
35590,255844,neanderthal marries human,penny reid,21742191-neanderthal-seeks-human,2
35591,16774,neanderthal seeks human,penny reid,21742191-neanderthal-seeks-human,2
46616,16158,star trek generations,j.m. dillard,217653.Star_Trek_Federation_Passport,2
46620,15815,star trek vi,j.m. dillard,217653.Star_Trek_Federation_Passport,2
2690,257003,accidentally dead,dakota cassidy,21810515-accidentally-dead,2
2691,257001,accidentally demonic,dakota cassidy,21810515-accidentally-dead,2
49131,257002,the accidental human,dakota cassidy,21810516-the-accidental-human,2
49140,257004,the accidental werewolf,dakota cassidy,21810516-the-accidental-human,2
25503,109371,if i stay - jika aku tetap di sini,gayle forman,21873331-if-i-stay-collection,2
25504,100092,if i stay collection,gayle forman,21873331-if-i-stay-collection,2
4923,381761,argentinos,jorge lanata,21900079-argentinos,2
4924,381760,argentinos - desde pedro de mendoza hasta la argentina del centenario,jorge lanata,21900079-argentinos,2
19023,323133,finding cinderella part one,raindrops,21900336-finding-cinderella-part-two,2
19024,323137,finding cinderella part two,raindrops,21900336-finding-cinderella-part-two,2
38754,177939,pegasus and the fight for olympus,kate o'hearn,21938831-pegasus-and-the-fight-for-olympus,2
38755,177935,pegasus and the origins of olympus,kate o'hearn,21938831-pegasus-and-the-fight-for-olympus,2
68092,349570,warrior's refuge,erin hunter,2194051.Warrior_s_Return,2
68093,349567,warrior's return,erin hunter,2194051.Warrior_s_Return,2
58544,3284,the nightingale,kristin hannah,21943929-the-nightingale,2
58547,368205,the nightingale paperback 5 oct 2017,kristin hannah,21943929-the-nightingale,2
48332,65049,tales of the fallen beasts,brandon mull,21976009-tales-of-the-great-beasts,2
48334,65051,tales of the great beasts,brandon mull,21976009-tales-of-the-great-beasts,2
7256,12465,biss zur mittagsstunde,stephenie meyer,2198719.Biss_zur_Mittagsstunde,2
7257,8819,biss zur mitternachtssonne,stephenie meyer,2198719.Biss_zur_Mittagsstunde,2
36833,375441,o teorema de katherine,john green,22027220-o-teorema-katherine,2
36834,197949,o teorema katherine,john green,22027220-o-teorema-katherine,2
70012,291853,women food and god,geneen roth,22031168-women-food-and-god,2
70025,260160,"women, food and god",geneen roth,22031168-women-food-and-god,2
9558,4198,can you keep a secret?,sophie kinsella,22131141-can-you-keep-a-secret,2
9559,192039,"can you keep a secret? - jangan bilang bilang, ya...",sophie kinsella,22131141-can-you-keep-a-secret,2
51421,262813,the christmas boutique,jennifer chiaverini,22176266-the-christmas-quilt,2
51445,78906,the christmas quilt,jennifer chiaverini,22176266-the-christmas-quilt,2
45315,57863,skippyjon jones,judy schachner,2217646.Skippyjon_Jones_and_the_Treasure_Hunt,2
45316,170385,skippyjon jones in the doghouse,judy schachner,2217646.Skippyjon_Jones_and_the_Treasure_Hunt,2
64619,2649,this lullaby,sarah dessen,22205.This_Lullaby,2
64620,282179,this lullaby/the truth about forever,sarah dessen,22205.This_Lullaby,2
44988,110632,simon's cat,simon tofield,22211465-simon-s-cat-3,2
44989,110589,simon's cat se fait la belle,simon tofield,22211465-simon-s-cat-3,2
13433,273851,dawn and the impossible three,ann m. martin,2221885.Dawn_and_the_Older_Boy,2
13434,273839,dawn and the surfer ghost,ann m. martin,2221885.Dawn_and_the_Older_Boy,2
22691,11929,harry potter and the chamber of secrets,john williams,2223324.Harry_Potter_and_the_Chamber_of_Secrets,2
22706,81717,harry potter and the order of the phoenix,john williams,2223324.Harry_Potter_and_the_Chamber_of_Secrets,2
39489,295214,plutarch's life of lucius cornelius sulla,plutarch,22238762-plutarch-s-morals,2
39490,295658,plutarch's lives,plutarch,22238762-plutarch-s-morals,2
39188,138732,pieces of us,pamela ann,22313849-pieces-of-us,2
39190,138748,pieces of you & me,pamela ann,22313849-pieces-of-us,2
35167,15961,my side of the mountain,jean craighead george,22314050-my-side-of-the-mountain,2
